"['Believe', 'Elton John']"
"['Back In The Day', 'Ahmad']"
"['Made For Now', 'Janet & Daddy Yankee']"
"['Have Fun, Go Mad', 'Blair']"
"['Westside Story', 'The Game Featuring 50 Cent']"
"['Regular Thang', 'Ovis']"
"['Till You Love Me', 'Reba McEntire']"
"['Can I Have It Like That', 'Pharrell Featuring Gwen Stefani']"
"['Mistletoe', 'Colbie Caillat']"
"['Try It On My Own', 'Whitney Houston']"
"[""You Don't Belong"", 'Daughtry']"
"['When The Lights Go Out', 'Five']"
"['Lights', 'Journey']"
"['Rosealia', 'Better Than Ezra']"
"['Nothing Compares 2 U', ""Sinead O'Connor""]"
"['Take One', 'Kodak Black']"
"['You Rock My World', 'Michael Jackson']"
"['Last Time', 'Trey Songz']"
"['The Morning Papers', 'Prince And The New Power Generation']"
"['Shot Clock', 'Ella Mai']"
"[""Talkin' To Me"", 'Amerie']"
"['Latch', 'Disclosure Featuring Sam Smith']"
"[""I Don't Wanna Live Forever (Fifty Shades Darker)"", 'Zayn / Taylor Swift']"
"['Whenever You Come Around', 'Vince Gill']"
"['The Neighbor', 'Dixie Chicks']"
"['Between The Raindrops', 'Lifehouse Featuring Natasha Bedingfield']"
"[""Let's Go"", 'Calvin Harris Featuring Ne-Yo']"
"['Start This S**t Off Right', 'Lil Wayne Featuring Ashanti & Mack Maine']"
"['The Pick Of Destiny', 'Tenacious D']"
"['Nika', 'Vicious']"
"['Beautiful Stranger', 'Madonna']"
"['Love Like Winter', 'AFI']"
"[""This Ain't A Love Song"", 'Bon Jovi']"
"['She Came To Give It To You', 'Usher Featuring Nicki Minaj']"
"['My Boo', 'Usher And Alicia Keys']"
"['You Gets No Love', 'Faith Evans']"
"[""Can't Nobody Hold Me Down"", 'Puff Daddy (Featuring Mase)']"
"['Steal My Sunshine', 'Len']"
"['Despacito', 'Luis Fonsi & Daddy Yankee Featuring Justin Bieber']"
"[""I'm Still In Love With You"", 'Sean Paul Featuring Sasha']"
"['Redneck Crazy', 'Tyler Farr']"
"['Mo Bamba', 'Sheck Wes']"
"[""She Ain't Worth It"", 'Glenn Medeiros Featuring Bobby Brown']"
"['Thinking Out Loud', 'Ed Sheeran']"
"[""That's My Girl"", 'Fifth Harmony']"
"['Woohoo', 'Christina Aguilera Featuring Nicki Minaj']"
"['Panic Switch', 'Silversun Pickups']"
"['Back To Life', 'Soul II Soul']"
